"Maakunta","Kunta","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","dummy"
"Lappi","Enontekiö","1781","1915","2128","1631","1721","1598","2000","1868","1837","1742","2047","2188","1912","1782","1662","."
"Lappi","Muonio","2371","2514","2387","2387","2261","2431","2532","2527","2592","3550","2800","2352","2574","2491","2696","."
"Lappi","Kittilä","2416","2165","2565","2376","3138","3697","3619","3592","3649","3737","4263","4233","4441","3875","3665","."
"Lappi","Kolari","2852","2723","2518","2515","2117","2861","2822","2697","2602","2857","2791","2723","2607","2049","2337","."
"Lappi","Rovaniemi","12608","14089","9748","11277","12195","11586","14135","23177","24937","25970","23636","25014","26563","19465","21869","."
"Lappi","Ylitornio+Pello","1372","1467","1680","1806","2484","2541","2828","2913","2503","3088","3044","3028","5274","4332","5564","."
"Lappi","Inari","2826","3033","2668","3689","3220","3390","2690","3380","3703","3843","4431","5463","4461","5408","5546","."
"Lappi","Keminmaa","5792","8314","8467","7226","6704","5962","6673","5713","4114","4225","4296","4517","4357","4360","3596","."
"Lappi","Sodankylä+Pelkosenn.+Savuk.","3850","4148","4204","4563","4535","4647","4278","4167","3677","4038","6644","6154","7216","6142","6178","."
"Lappi","Utsjoki","1122","1600","1134","1176","1097","1106","1256","1139","1328","1227","1012","936","1055","952","1119","."
"Lappi","Tervola","1731","1455","1753","1501","1768","1766","1639","1760","1590","1741","1762","1698","1992","1820","1727","."
"Lappi","Salla","1485","1816","1774","1727","1577","1438","1398","1796","4171","1670","2288","2470","2821","1832","1468","."
"Lappi","Kemi","8542","10241","11120","11625","9936","8814","7052","7570","6194","8409","6713","6938","7328","7915","7194","."
"Lappi","Kemijärvi","2646","3252","3587","3348","2786","3019","3296","3461","3113","5152","3789","3464","3520","2790","2385","."
"Lappi","Posio","1990","1661","1633","2091","1795","1898","2032","1746","1856","2507","2703","2353","2297","2331","1523","."
"Lappi","Tornio","8250","4649","8186","8333","7017","4632","4567","4366","5247","6006","6115","7362","8018","6248","5757","."
"Lappi","Simo","2070","1732","1411","1441","1504","1644","1581","1558","1794","1729","1501","1564","1483","1598","1923","."
"Maakunta","Pohjois-Karjala","71272","71486","71656","67021","68747","69405","65402","70375","74727","78923","75086","73363","72237","60076","52342","."
"Maakunta","Pirkanmaa","157526","161658","170962","168940","176186","177537","172409","183170","179814","193921","184584","171936","201044","177164","178705","."
"Maakunta","Pohjois-Pohjanmaa","161684","159764","164236","163604","163600","165518","164009","173008","175102","188399","177875","179800","180976","164251","154274","."
"Maakunta","Päijät-Häme","83547","84889","78685","76693","77658","76167","72394","71270","72679","77259","77194","75492","76251","70728","64880","."
"Maakunta","Satakunta","96659","94847","92907","94898","91573","94706","94759","95009","95618","100404","98619","114621","110081","100735","86909","."
"Maakunta","Kainuu","44743","48628","37346","36419","37094","38850","33891","32754","33684","32941","33393","31918","34424","29543","28075","."
"Maakunta","Etelä-Pohjanmaa","84711","91968","90531","86643","84540","85596","87673","87081","87179","91517","95401","93362","97524","91962","87852","."
"Maakunta","Keski-Suomi","108302","112314","112396","113582","106010","107627","104279","104197","106219","116434","114470","119348","118936","102200","98108","."
"Maakunta","Pohjois-Savo","92840","88061","93520","95327","96939","97410","101008","97183","93085","101920","108909","106819","104609","95912","99501","."
"Maakunta","Keski-Pohjanmaa","30062","30111","30372","31801","32106","30996","32877","33800","32175","38605","38276","34648","34280","31500","28676","."
"Maakunta","Varsinais-Suomi","172298","183804","179489","166931","172635","178137","174139","175876","188508","199346","202783","206109","217230","192554","180519","."
"Maakunta","Kanta-Häme","61597","63639","67434","69895","68361","68208","65439","63279","62847","68141","65725","64531","66343","66812","63939","."
"Maakunta","Pohjanmaa","65263","64536","66637","67095","69703","70404","69451","67679","72093","86584","83443","83911","84467","84818","77025","."
"Maakunta","Kymenlaakso","89211","77624","72699","72922","70240","68167","65958","66757","65062","72969","64142","62192","62192","58454","60541","."
"Maakunta","Lappi","75551","79725","80541","83581","81395","77778","79735","80554","80937","89624","84941","87704","91865","79791","81482","."
"Maakunta","Uusimaa","350386","378294","396225","403313","356688","357412","358325","364398","399968","427459","437154","476269","530097","460519","452023","."
