"Maakunta","Kunta","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","dummy"
"Pohjanmaa","Kristiinankaupunki","101805","117575","127680","123946","122723","115300","105659","97413","91096","87805","82800","81618","61051","63751","74828","."
"Pohjanmaa","Kruunupyy","107317","111506","109332","109964","109433","111220","107316","103070","103346","105009","105031","92021","116159","110773","107785","."
"Pohjanmaa","Laihia","126879","128562","127021","131490","132612","137913","122739","115860","118743","124804","118945","127895","124857","118630","129445","."
"Pohjanmaa","Luoto","82764","86929","81684","84262","91059","88778","95398","93108","98609","107957","109203","115593","117617","109882","107989","."
"Pohjanmaa","Maalahti","72451","67588","66156","66712","67109","68648","64576","63043","60554","53687","50415","66208","59417","62612","61362","."
"Pohjanmaa","Mustasaari","287042","298825","308360","304067","309234","308121","307492","311854","305632","311977","308015","303672","300732","293638","294842","."
"Pohjanmaa","Närpiö","141651","134175","132484","132697","134430","141864","132083","124408","126830","132039","128680","126033","124423","128253","131500","."
"Pohjanmaa","Pedersören kunta","149724","154668","156850","159024","160877","171379","164508","153028","153786","155130","149731","144202","153430","150920","148602","."
"Pohjanmaa","Pietarsaari","365417","372865","377925","373838","371428","387130","356923","355307","348488","347198","348325","330801","335801","335407","311318","."
"Pohjanmaa","Uusikaarlepyy","85457","94199","94106","96728","91915","91131","90716","86126","84738","83876","83527","80839","83793","85016","88645","."
"Pohjanmaa","Vöyri","0","0","0","0","0","0","0","0","0","0","0","0","102481","104164","107912","."
"Pohjanmaa","Vaasa","1227646","1230971","1111098","1244981","1186488","1196659","1256676","1294673","1256746","1241767","1263249","1247106","1282174","1281206","1324951","."
"Pohjois-Karjala","Ilomantsi","108941","130252","133914","134524","135262","132109","128801","109844","104396","94687","90681","85239","80435","74762","69756","."
"Pohjois-Karjala","Joensuu+Kont.+Lip.+Out.+Polv.","1543418","1533460","1527101","1572145","1682647","1678232","1682668","1641606","2547379","2598658","2597483","2527659","2527946","2517284","2377610","."
"Pohjois-Karjala","Juuka","131564","134444","135224","136205","123005","122527","101213","98320","98896","97540","94991","91643","92567","95582","87580","."
"Pohjois-Karjala","Kitee","222888","225452","221315","269641","263400","252783","243984","219811","213662","180566","179764","165187","164911","151796","131090","."
"Pohjois-Karjala","Lieksa","418883","427615","433600","436243","431258","427624","394860","378726","374426","353222","343126","315749","310173","297668","274019","."
"Pohjois-Karjala","Nurmes","361850","374395","379247","387398","372862","364175","327214","297589","265397","252943","238958","211385","208154","206176","210714","."
"Pohjois-Karjala","Rääkkylä","52172","61200","55271","46554","50297","51930","49824","49198","47972","47874","49144","44890","42015","42036","42832","."
"Pohjois-Karjala","Tohmajärvi","96637","95495","92944","94905","94077","94084","95056","87367","85974","83490","73771","68628","70598","69687","66455","."
"Pohjois-Karjala","Valtimo","57088","54334","55988","52673","44974","46766","41519","39508","36177","35810","37212","33883","35013","35665","33550","."
"Pohjois-Pohjanmaa","Alavieska","78547","86526","83954","98681","97136","98283","90044","84394","82728","79840","76686","74931","74006","70643","64063","."
"Pohjois-Pohjanmaa","Haapajärvi+Pyhäjärvi","205969","210378","213532","204783","200868","204319","197688","204469","273062","271771","261837","258677","253807","253789","246409","."
"Pohjois-Pohjanmaa","Haapavesi","196790","187533","201340","210601","201164","192122","185834","180286","166420","164335","149097","151976","158893","158209","139407","."
"Pohjois-Pohjanmaa","Hailuoto","19567","20674","19408","19206","20969","21544","19597","20418","19353","15104","14052","13708","12471","11840","11463","."
"Pohjois-Pohjanmaa","Ii","151202","152531","157636","161948","167065","167266","153956","157222","202131","195405","194318","205202","209682","204811","207441","."
"Pohjois-Pohjanmaa","Kärsämäki","71328","69796","59527","63038","62102","60665","55523","55797","59626","56105","55004","49780","49040","48573","43072","."
"Pohjois-Pohjanmaa","Kalajoki","175325","182860","184982","184206","178845","176905","171838","156822","152478","151379","159723","200992","213015","215970","223464","."
"Pohjois-Pohjanmaa","Kempele","261385","268263","287319","301437","304035","317979","315224","315040","315721","345335","347462","340946","329861","333940","337303","."
"Pohjois-Pohjanmaa","Kuusamo","386647","398933","408253","419991","424165","446057","447230","422126","408472","394682","382222","353783","338173","317254","298440","."
"Pohjois-Pohjanmaa","Liminka","100721","113509","130113","144785","167230","172712","175198","176137","178430","185569","182206","171605","179419","174111","201464","."
"Pohjois-Pohjanmaa","Lumijoki","25851","22909","25818","26561","28213","28911","40018","39770","38441","38935","39812","37786","37535","36532","35886","."
"Pohjois-Pohjanmaa","Merijärvi","31393","31327","31354","31162","33157","31295","31746","30556","36155","35091","33639","29238","32748","27788","24239","."
"Pohjois-Pohjanmaa","Muhos","197335","185004","208839","202277","203380","209123","199470","199395","214820","207122","207214","212116","213148","208579","200965","."
"Pohjois-Pohjanmaa","Nivala","233454","218075","226669","235201","242497","234385","220900","185722","216192","215890","213956","209047","212809","226016","218535","."
"Pohjois-Pohjanmaa","Oulainen","208503","217364","223342","229852","247552","252977","223824","232287","185433","168377","154931","149816","150780","147055","146571","."
"Pohjois-Pohjanmaa","Oulu","2796952","2916619","2956642","3192153","3189014","3296058","3146361","3118819","3173653","3156783","3177145","2972404","3075682","3846314","3868189","."
"Pohjois-Pohjanmaa","Pudasjärvi","185837","191074","189171","182124","192217","189081","185716","170897","172428","167859","174977","158279","156364","152975","129921","."
"Pohjois-Pohjanmaa","Pyhäjoki","83050","82143","80679","80474","78068","82745","76911","72788","67393","62144","59708","58435","61357","61087","60609","."
"Pohjois-Pohjanmaa","Pyhäntä","41385","42966","39975","43463","45923","43174","41528","40405","35635","34492","35419","32131","32497","34765","40218","."
"Pohjois-Pohjanmaa","Raahe","401158","384316","388621","376430","469519","467574","444703","445974","438211","442188","439631","436693","425639","405397","389234","."
