"Maakunta","Kunta","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","dummy"
"Päijät-Häme","Sysmä","0.79","0.8","0.81","0.79","0.84","0.85","0.83","0.84","0.65","0.66","0.75","0.77","0.79","0.76","0.81","."
"Pirkanmaa","Akaa","0","0","0","0","0","0","0","0","0.76","0.71","0.71","0.65","0.67","0.7","0.66","."
"Pirkanmaa","Hämeenkyrö","0.71","0.71","0.71","0.71","0.7","0.7","0.69","0.69","0.68","0.68","0.69","0.57","0.52","0.52","0.64","."
"Pirkanmaa","Ikaalinen","0.56","0.56","0.56","0.56","0.57","0.57","0.57","0.57","0.55","0.55","0.55","0.54","0.61","0.51","0.62","."
"Pirkanmaa","Juupajoki","0.75","0.75","0.76","0.78","0.8","0.75","0.75","0.54","0.53","0.63","0.69","0.71","0.72","0.73","0.74","."
"Pirkanmaa","Kangasala","0.85","0.82","0.81","0.8","0.8","0.81","0.85","0.89","0.84","0.79","0.79","0.77","0.9","0.9","0.84","."
"Pirkanmaa","Kihniö","0.76","0.69","0.62","0.73","0.67","0.66","0.68","0.68","0.79","0.7","0.82","0.69","0.72","0.73","0.75","."
"Pirkanmaa","Lempäälä","0.65","0.64","0.64","0.72","0.7","0.69","0.66","0.68","0.68","0.72","0.71","0.69","0.68","0.67","0.65","."
"Pirkanmaa","Mänttä-Vilppula","0","0","0","0","0","0","0","0","0","0","0.71","0.8","0.81","0.82","0.74","."
"Pirkanmaa","Nokia","0.64","0.64","0.76","0.75","0.74","0.73","0.72","0.71","0.7","0.63","0.61","0.54","0.54","0.63","0.6","."
"Pirkanmaa","Orivesi","0.69","0.61","0.59","0.58","0.58","0.57","0.58","0.58","0.56","0.55","0.61","0.64","0.64","0.73","0.73","."
"Pirkanmaa","Pälkäne","0.55","0.61","0.68","0.77","0.76","0.75","0.63","0.77","0.8","0.81","0.72","0.6","0.62","0.63","0.63","."
"Pirkanmaa","Parkano","0.7","0.7","0.72","0.63","0.62","0.64","0.64","0.61","0.68","0.67","0.67","0.68","0.67","0.69","0.72","."
"Pirkanmaa","Pirkkala","0.79","0.78","0.75","0.76","0.74","0.78","0.78","0.81","0.79","0.76","0.77","0.76","0.73","0.7","0.69","."
"Pirkanmaa","Punkalaidun","0.68","0.8","0.8","0.82","0.83","0.84","0.73","0.63","0.69","0.68","0.89","0.93","0.82","0.83","0.78","."
"Pirkanmaa","Ruovesi","0.86","0.87","0.88","0.82","0.8","0.84","0.89","0.89","0.9","0.95","0.96","0.78","0.99","0.98","1.03","."
"Pirkanmaa","Sastamala","0","0","0","0","0","0","0","0","0","0","0.73","0.77","0.73","0.73","0.76","."
"Pirkanmaa","Tampere","0.87","0.86","0.88","0.9","0.9","0.93","0.92","0.91","0.91","0.94","0.97","0.95","1.05","1.01","0.95","."
"Pirkanmaa","Urjala","0.69","0.7","0.7","0.71","0.71","0.72","0.72","0.72","0.73","0.73","0.81","0.83","0.91","0.71","0.79","."
"Pirkanmaa","Valkeakoski","1.02","1.01","1.02","1.03","1.04","1.06","0.97","0.98","0.96","0.97","0.91","0.91","0.91","0.94","0.92","."
"Pirkanmaa","Vesilahti","0.6","0.59","0.76","0.75","0.72","0.82","0.82","0.73","0.71","0.85","0.81","0.82","0.83","0.91","0.9","."
"Pirkanmaa","Virrat","0.89","0.83","0.79","0.8","0.83","0.88","0.88","0.87","0.89","0.87","0.89","0.89","0.8","0.79","0.88","."
"Pirkanmaa","Ylöjärvi","0.65","0.69","0.68","0.67","0.74","0.74","0.75","0.76","0.78","0.84","0.82","0.79","0.73","0.7","0.67","."
"Pohjanmaa","Isokyrö","0.76","0.77","0.78","0.78","0.79","0.79","0.79","0.79","0.79","0.8","0.8","0.81","0.81","0.81","0.82","."
"Pohjanmaa","Kaskinen","1.63","1.66","1.6","1.61","1.62","1.6","1.65","1.62","1.53","1.48","1.49","1.43","1.35","1.07","0.96","."
"Pohjanmaa","Korsnäs","1.15","0.97","0.69","0.68","0.64","0.64","0.65","0.64","0.64","0.63","0.64","0.63","0.63","0.79","0.79","."
"Pohjanmaa","Kristiinankaupunki","0.96","0.9","0.95","0.95","0.96","0.97","0.98","0.99","1.01","1.03","1.04","0.95","0.95","0.86","0.87","."
"Pohjanmaa","Kruunupyy","0.9","0.9","0.88","1.01","0.97","0.95","0.98","0.96","0.98","1.04","1.04","1.01","1.08","1.13","1.13","."
"Pohjanmaa","Laihia","0.75","0.75","0.76","0.74","0.77","0.77","0.76","0.73","0.73","0.71","0.73","0.75","0.74","0.77","0.84","."
"Pohjanmaa","Luoto","0.7","0.69","0.68","0.68","0.67","0.67","0.67","0.66","0.65","0.66","0.65","0.64","0.62","0.61","0.7","."
"Pohjanmaa","Maalahti","0.64","0.65","0.66","0.66","0.66","0.72","0.74","0.74","0.74","0.74","0.74","0.73","0.73","0.67","0.74","."
"Pohjanmaa","Mustasaari","0.73","0.73","0.72","0.73","0.73","0.74","0.74","0.75","0.73","0.72","0.71","0.71","0.7","0.7","0.72","."
"Pohjanmaa","Närpiö","0.78","0.74","0.76","0.75","0.75","0.82","0.78","0.75","0.78","0.76","0.76","0.74","0.74","0.72","0.82","."
"Pohjanmaa","Pedersören kunta","0.67","0.67","0.72","0.78","0.78","0.78","0.69","0.69","0.69","0.69","0.68","0.68","0.67","0.67","0.67","."
"Pohjanmaa","Pietarsaari","0.88","0.97","0.97","1.01","1.04","1.04","1.02","1","0.99","1.01","0.94","0.93","1.02","0.93","0.88","."
"Pohjanmaa","Uusikaarlepyy","0.86","0.86","0.87","0.88","0.87","0.87","0.87","0.88","0.87","0.82","0.81","0.8","0.82","0.83","0.86","."
